,0,1,2,3,Target
0,0,21,1,2018,84.3986531293234
1,0,21,1,2019,87.64095342383567
2,0,21,1,2020,90.88325371834794
3,0,21,3,2018,84.3986531293234
4,0,21,3,2020,87.64095342383567
5,0,21,3,2022,90.88325371834794
6,0,21,5,2018,94.12555401286022
7,0,21,5,2019,97.36785430737248
8,0,21,5,2021,100.61015460188474
9,0,21,5,2023,103.85245489639702
10,0,21,5,2024,107.0947551909093
11,0,21,5,2025,109.15450004145592
12,0,21,7,2018,112.39680033596818
13,0,21,9,2018,118.8814009249927
14,0,21,9,2019,125.36600151401726
15,0,21,9,2020,86.4296275225966
16,0,21,9,2021,89.67192781710887
17,0,21,9,2022,92.91422811162114
18,0,21,9,2023,96.15652840613342
19,0,21,9,2025,99.39882870064568
20,0,21,11,2018,102.64112899515794
21,0,21,11,2019,105.88342928967022
22,0,21,11,2020,109.1257295841825
23,0,21,11,2021,86.4296275225966
24,0,21,11,2023,89.67192781710887
25,0,21,11,2024,92.91422811162114
26,0,21,11,2025,96.15652840613342
27,0,21,13,2018,99.39882870064568
28,0,21,13,2019,102.64112899515794
29,0,21,13,2020,105.88342928967022
30,0,21,13,2021,109.1257295841825
31,0,21,13,2022,104.70087384570456
32,0,21,13,2023,107.94317414021683
33,0,21,13,2024,111.18547443472912
34,0,21,13,2025,114.42777472924138
35,0,21,15,2018,117.67007502375364
36,0,21,15,2019,120.9123753182659
37,0,21,15,2020,124.15467561277819
38,0,21,15,2021,127.39697590729045
39,0,21,15,2022,82.85900847179639
40,0,21,15,2023,86.10130876630865
41,0,21,15,2024,89.34360906082092
42,0,21,15,2025,92.5859093553332
43,0,21,17,2018,95.82820964984546
44,0,21,17,2019,99.07050994435772
45,0,21,17,2021,102.31281023887
46,0,21,17,2023,105.55511053338228
47,0,21,17,2024,82.85900847179639
48,0,21,17,2025,86.10130876630865
49,0,21,19,2018,89.34360906082092
50,0,21,19,2019,92.5859093553332
51,0,21,19,2020,95.82820964984546
52,0,21,19,2021,99.07050994435772
53,0,21,19,2022,102.31281023887
54,0,21,19,2023,105.55511053338228
55,0,21,19,2024,101.13025479490435
56,0,21,19,2025,104.37255508941661
