,0,1,2,3,target
0,0,21,1,2018,21.7
1,0,21,1,2019,21.7
2,0,21,1,2020,21.7
3,0,21,3,2018,574.5
4,0,21,3,2020,574.5
5,0,21,3,2022,574.5
6,0,21,5,2018,10.0
7,0,21,5,2019,10.0
8,0,21,5,2021,10.0
9,0,21,5,2023,10.0
10,0,21,5,2024,10.0
11,0,21,5,2025,10.0
12,0,21,7,2024,92.0
13,0,21,9,2018,13.0
14,0,21,9,2019,13.0
15,0,21,9,2020,13.0
16,0,21,9,2021,13.0
17,0,21,9,2022,13.0
18,0,21,9,2023,13.0
19,0,21,9,2025,13.0
20,0,21,11,2018,21.0
21,0,21,11,2019,21.0
22,0,21,11,2020,21.0
23,0,21,11,2021,21.0
24,0,21,11,2023,21.0
25,0,21,11,2024,21.0
26,0,21,11,2025,21.0
27,0,21,13,2018,4.2
28,0,21,13,2019,4.2
29,0,21,13,2020,4.2
30,0,21,13,2021,4.2
31,0,21,13,2022,4.2
32,0,21,13,2023,4.2
33,0,21,13,2024,4.2
34,0,21,13,2025,4.2
35,0,21,15,2018,56.6
36,0,21,15,2019,56.6
37,0,21,15,2020,56.6
38,0,21,15,2021,56.6
39,0,21,15,2022,56.6
40,0,21,15,2023,56.6
41,0,21,15,2024,56.6
42,0,21,15,2025,56.6
43,0,21,17,2018,31.1
44,0,21,17,2019,31.1
45,0,21,17,2021,31.1
46,0,21,17,2023,31.1
47,0,21,17,2024,31.1
48,0,21,17,2025,31.1
49,0,21,19,2018,53.0
50,0,21,19,2019,53.0
51,0,21,19,2020,53.0
52,0,21,19,2021,53.0
53,0,21,19,2022,53.0
54,0,21,19,2023,53.0
55,0,21,19,2024,53.0
56,0,21,19,2025,53.0
57,0,21,21,2018,32.4
58,0,21,21,2019,32.4
59,0,21,21,2020,32.4
60,0,21,21,2021,32.4
61,0,21,21,2022,32.4
62,0,21,21,2023,32.4
63,0,21,21,2024,32.4
64,0,21,21,2025,32.4
65,0,21,23,2019,45.5
66,0,21,23,2020,45.5
67,0,21,23,2021,45.5
68,0,21,23,2022,45.5
69,0,21,23,2023,45.5
70,0,21,23,2024,45.5
71,0,21,25,2018,9.7
72,0,21,25,2019,9.7
73,0,21,25,2020,9.7
74,0,21,25,2021,9.7
75,0,21,25,2022,9.7
76,0,21,25,2023,9.7
77,0,21,25,2024,9.7
78,0,21,25,2025,9.7
79,0,21,27,2019,14.0
80,0,21,27,2020,14.0
81,0,21,27,2025,14.0
82,0,21,29,2018,23.9
83,0,21,29,2019,23.9
84,0,21,29,2020,23.9
85,0,21,29,2021,23.9
86,0,21,29,2022,23.9
87,0,21,29,2023,23.9
88,0,21,29,2024,23.9
89,0,21,29,2025,23.9
90,0,21,31,2018,17.3
91,0,21,31,2022,17.3
92,0,21,31,2024,17.3
93,0,21,33,2019,41.9
94,0,21,33,2022,41.9
95,0,21,33,2024,41.9
96,0,21,33,2025,41.9
97,0,21,35,2019,421.4
98,0,21,35,2021,421.4
99,0,21,35,2023,421.4
100,0,21,35,2024,421.4
101,0,21,35,2025,421.4
102,0,21,37,2018,120.4
103,0,21,37,2019,120.4
104,0,21,37,2020,120.4
105,0,21,37,2021,120.4
106,0,21,37,2022,120.4
107,0,21,37,2023,120.4
108,0,21,37,2024,120.4
109,0,21,37,2025,120.4
110,0,21,39,2018,109.6
111,0,21,41,2018,20.1
112,0,21,41,2019,20.1
113,0,21,41,2020,20.1
114,0,21,41,2022,20.1
115,0,21,41,2023,20.1
116,0,21,41,2024,20.1
117,0,21,41,2025,20.1
118,0,21,43,2018,36.3
119,0,21,43,2019,36.3
120,0,21,43,2020,36.3
121,0,21,43,2021,36.3
122,0,21,43,2022,36.3
123,0,21,43,2023,36.3
124,0,21,43,2024,36.3
125,0,21,43,2025,36.3
126,0,21,45,2018,70.5
127,0,21,45,2019,70.5
128,0,21,45,2020,70.5
129,0,21,45,2021,70.5
130,0,21,45,2023,70.5
131,0,21,45,2024,70.5
132,0,21,47,2018,54.8
133,0,21,47,2022,54.8
134,0,21,47,2024,54.8
135,0,21,49,2018,136.4
136,0,21,49,2019,136.4
137,0,21,49,2020,136.4
138,0,21,49,2021,136.4
139,0,21,49,2022,136.4
140,0,21,49,2023,136.4
141,0,21,49,2024,136.4
142,0,21,49,2025,136.4
143,0,21,51,2018,10.0
144,0,21,51,2019,10.0
145,0,21,51,2021,10.0
146,0,21,51,2022,10.0
147,0,21,51,2023,10.0
148,0,21,51,2024,10.0
149,0,21,53,2020,33.1
150,0,21,53,2021,33.1
151,0,21,53,2022,33.1
152,0,21,53,2023,33.1
153,0,21,53,2025,33.1
154,0,21,55,2018,35.6
155,0,21,55,2023,35.6
156,0,21,57,2022,69.0
157,0,21,57,2023,69.0
158,0,21,57,2024,69.0
159,0,21,59,2018,6.8
160,0,21,59,2019,6.8
161,0,21,59,2021,6.8
162,0,21,59,2022,6.8
163,0,21,59,2023,6.8
164,0,21,59,2024,6.8
165,0,21,59,2025,6.8
166,0,21,61,2018,1638.0
167,0,21,61,2019,1638.0
168,0,21,61,2021,1638.0
169,0,21,61,2022,1638.0
170,0,21,61,2023,1638.0
171,0,21,61,2024,1638.0
172,0,21,63,2020,16.9
173,0,21,63,2025,16.9
174,0,21,65,2019,42.6
175,0,21,65,2020,42.6
176,0,21,65,2022,42.6
177,0,21,65,2024,42.6
178,0,21,65,2025,42.6
179,0,21,67,2018,470.0
180,0,21,67,2019,470.0
181,0,21,67,2020,470.0
182,0,21,67,2021,470.0
183,0,21,67,2022,470.0
184,0,21,67,2023,470.0
185,0,21,67,2024,470.0
186,0,21,67,2025,470.0
187,0,21,69,2018,19.0
188,0,21,69,2019,19.0
189,0,21,69,2020,19.0
190,0,21,69,2021,19.0
191,0,21,69,2023,19.0
192,0,21,69,2025,19.0
193,0,21,71,2018,96.9
194,0,21,71,2019,96.9
195,0,21,71,2020,96.9
196,0,21,71,2021,96.9
197,0,21,71,2022,96.9
198,0,21,71,2023,96.9
199,0,21,71,2024,96.9
200,0,21,71,2025,96.9
201,0,21,73,2018,27.7
202,0,21,73,2019,27.7
203,0,21,73,2020,27.7
204,0,21,73,2021,27.7
205,0,21,73,2022,27.7
206,0,21,73,2023,27.7
207,0,21,73,2024,27.7
208,0,21,73,2025,27.7
209,0,21,75,2018,54.5
210,0,21,75,2025,54.5
211,0,21,77,2018,1.3
212,0,21,77,2019,1.3
213,0,21,77,2022,1.3
214,0,21,77,2025,1.3
215,0,21,79,2018,8.2
216,0,21,79,2022,8.2
217,0,21,79,2024,8.2
218,0,21,79,2025,8.2
219,0,21,81,2018,73.6
220,0,21,81,2019,73.6
221,0,21,81,2020,73.6
222,0,21,81,2021,73.6
223,0,21,81,2022,73.6
224,0,21,81,2023,73.6
225,0,21,81,2024,73.6
226,0,21,81,2025,73.6
227,0,21,83,2019,6.8
228,0,21,83,2020,6.8
229,0,21,83,2021,6.8
230,0,21,83,2022,6.8
231,0,21,83,2023,6.8
232,0,21,83,2024,6.8
233,0,21,83,2025,6.8
234,0,21,85,2018,11.0
235,0,21,85,2019,11.0
236,0,21,85,2024,11.0
237,0,21,85,2025,11.0
238,0,21,87,2020,16.0
239,0,21,89,2018,7.1
240,0,21,89,2019,7.1
241,0,21,89,2020,7.1
242,0,21,89,2022,7.1
243,0,21,89,2023,7.1
244,0,21,89,2024,7.1
245,0,21,89,2025,7.1
246,0,21,93,2018,16.4
247,0,21,93,2019,16.4
248,0,21,93,2020,16.4
249,0,21,93,2021,16.4
250,0,21,93,2022,16.4
251,0,21,93,2023,16.4
252,0,21,93,2024,16.4
253,0,21,93,2025,16.4
254,0,21,95,2018,4.6
255,0,21,95,2019,4.6
256,0,21,95,2020,4.6
257,0,21,95,2021,4.6
258,0,21,95,2022,4.6
259,0,21,95,2023,4.6
260,0,21,95,2024,4.6
261,0,21,95,2025,4.6
262,0,21,97,2018,20.8
263,0,21,97,2020,20.8
264,0,21,97,2021,20.8
265,0,21,97,2022,20.8
266,0,21,97,2023,20.8
267,0,21,97,2024,20.8
268,0,21,97,2025,20.8
269,0,21,99,2019,167.1
270,0,21,99,2020,167.1
271,0,21,99,2022,167.1
272,0,21,101,2019,542.2
273,0,21,101,2023,542.2
274,0,21,101,2024,542.2
275,0,21,101,2025,542.2
276,0,21,103,2020,27.2
277,0,21,103,2023,27.2
278,0,21,103,2024,27.2
279,0,21,103,2025,27.2
280,0,21,107,2018,34.7
281,0,21,107,2019,34.7
282,0,21,107,2020,34.7
283,0,21,107,2021,34.7
284,0,21,107,2023,34.7
285,0,21,107,2025,34.7
286,0,21,109,2018,94.8
287,0,21,109,2019,94.8
288,0,21,109,2022,94.8
289,0,21,109,2023,94.8
290,0,21,109,2024,94.8
291,0,21,109,2025,94.8
292,0,21,111,2018,460.3
293,0,21,111,2019,460.3
294,0,21,111,2020,460.3
295,0,21,111,2021,460.3
296,0,21,111,2022,460.3
297,0,21,111,2023,460.3
298,0,21,111,2024,460.3
299,0,21,111,2025,460.3
300,0,21,113,2018,32.5
301,0,21,113,2019,32.5
302,0,21,113,2020,32.5
303,0,21,113,2021,32.5
304,0,21,113,2022,32.5
305,0,21,113,2023,32.5
306,0,21,113,2024,32.5
