35) HC02_VC39                      0.002747,35) HC03_VC77                      0.002495,35) HC01_VC186                     0.002482,35) HC03_VC201                     0.001937,35) HC02_VC90                      0.001756
36) HC03_VC17                      0.002628,36) HC01_VC61                      0.002429,36) HC03_VC77                      0.002416,36) HC03_VC43                      0.001927,36) HC02_VC45                      0.001690
37) HC03_VC46                      0.002612,37) HC03_VC85                      0.002383,37) HC03_VC65                      0.002342,37) HC03_VC195                     0.001926,37) HC03_VC184                     0.001653
38) HC04_VC148                     0.002478,38) HC02_VC192                     0.002341,38) HC03_VC194                     0.002243,38) HC03_VC76                      0.001877,38) HC03_VC195                     0.001637
39) HC04_VC65                      0.002464,39) HC03_VC195                     0.002340,39) HC02_VC191                     0.002119,39) HC02_VC209                     0.001802,39) HC02_VC66                      0.001599
40) HC03_VC08                      0.002455,40) HC03_VC91                      0.002302,40) HC03_VC157                     0.002084,40) HC02_VC69                      0.001786,40) HC01_VC69                      0.001554
41) HC02_VC205                     0.002164,41) HC02_VC202                     0.002301,41) HC01_VC177                     0.001992,41) HC02_VC99                      0.001693,41) HC02_VC170                     0.001544
42) HC02_VC89                      0.002132,42) HC03_VC43                      0.002291,42) HC04_VC147                     0.001984,42) HC03_VC162                     0.001607,42) HC02_VC04                      0.001532
43) HC01_VC79                      0.002118,43) HC03_VC130                     0.002279,43) HC03_VC113                     0.001904,43) HC02_VC39                      0.001572,43) HC01_VC112                     0.001532
44) HC03_VC194                     0.002069,44) HC01_VC62                      0.002108,44) HC01_VC128                     0.001676,44) HC01_VC205                     0.001561,44) HC03_VC156                     0.001521
45) HC02_VC176                     0.002021,45) HC02_VC61                      0.002102,45) HC03_VC195                     0.001668,45) HC02_VC89                      0.001559,45) HC02_VC178                     0.001494
46) HC03_VC31                      0.001855,46) HC01_VC186                     0.001675,46) HC03_VC152                     0.001634,46) HC04_VC52                      0.001507,46) HC03_VC159                     0.001409
47) HC04_VC147                     0.001754,47) HC02_VC148                     0.001669,47) HC03_VC160                     0.001427,47) HC02_VC106                     0.001470,47) HC02_VC17                      0.001353
48) HC02_VC206                     0.001560,48) HC02_VC205                     0.001550,48) HC02_VC25                      0.001397,48) HC01_VC99                      0.001466,48) HC03_VC43                      0.001213
49) HC01_VC53                      0.001531,49) HC02_VC193                     0.001544,49) HC02_VC175                     0.001294,49) HC01_VC29                      0.001462,49) HC02_VC25                      0.001171
50) HC01_VC204                     0.001521,50) HC03_VC69                      0.001474,50) HC03_VC18                      0.001231,50) HC03_VC85                      0.001451,50) HC03_VC196                     0.001156
51) HC01_VC110                     0.001374,,,,
52) HC02_VC188                     0.001356,,,,
53) HC02_VC40                      0.001332,,,,
54) HC03_VC30                      0.001290,,,,
55) HC01_VC112                     0.001175,,,,
56) HC03_VC160                     0.001119,,,,
57) HC04_VC107                     0.001108,,,,
58) HC02_VC12                      0.001100,,,,
59) HC02_VC25                      0.001099,,,,
60) HC03_VC195                     0.001085,,,,
61) HC02_VC199                     0.001062,,,,
62) HC03_VC148                     0.001054,,,,
63) HC02_VC173                     0.001028,,,,
64) HC01_VC193                     0.000999,,,,
65) HC01_VC208                     0.000911,,,,
66) HC01_VC183                     0.000906,,,,
67) HC03_VC85                      0.000889,,,,
68) HC01_VC176                     0.000885,,,,
69) HC01_VC203                     0.000853,,,,
70) HC03_VC118                     0.000833,,,,
71) HC01_VC88                      0.000791,,,,
72) HC03_VC37                      0.000787,,,,
73) HC02_VC205                     0.000786,,,,
74) HC01_VC91                      0.000726,,,,
75) HC03_VC196                     0.000708,,,,
76) HC03_VC67                      0.000691,,,,
77) HC02_VC71                      0.000683,,,,
78) HC02_VC148                     0.000674,,,,
79) HC01_VC65                      0.000672,,,,
80) HC03_VC209                     0.000659,,,,
81) HC01_VC66                      0.000643,,,,
82) HC02_VC206                     0.000636,,,,
83) HC03_VC173                     0.000634,,,,
84) HC02_VC161                     0.000633,,,,
85) HC01_VC123                     0.000626,,,,
86) HC03_VC200                     0.000625,,,,
87) HC02_VC202                     0.000590,,,,
88) HC03_VC66                      0.000588,,,,
89) HC01_VC86                      0.000586,,,,
90) HC02_VC187                     0.000559,,,,
91) HC03_VC80                      0.000558,,,,
92) HC02_VC113                     0.000557,,,,
93) HC03_VC93                      0.000555,,,,
94) HC04_VC194                     0.000544,,,,
95) 2                              0.000536,,,,
96) HC03_VC86                      0.000534,,,,
97) HC02_VC35                      0.000531,,,,
98) HC03_VC12                      0.000526,,,,
99) HC01_VC201                     0.000523,,,,
100) HC02_VC62                      0.000505,,,,
101) HC04_VC158                     0.000504,,,,
102) HC02_VC176                     0.000503,,,,
103) HC01_VC199                     0.000492,,,,
104) HC03_VC99                      0.000491,,,,
105) HC04_VC147                     0.000485,,,,
106) HC02_VC64                      0.000475,,,,
107) HC04_VC89                      0.000470,,,,
108) HC01_VC85                      0.000470,,,,
109) HC03_VC27                      0.000464,,,,
110) HC01_VC148                     0.000463,,,,
111) HC03_VC104                     0.000451,,,,
112) HC03_VC89                      0.000444,,,,
113) HC01_VC08                      0.000443,,,,
114) HC02_VC132                     0.000436,,,,
115) HC01_VC44                      0.000424,,,,
116) HC03_VC14                      0.000416,,,,
117) HC01_VC46                      0.000410,,,,
118) HC04_VC151                     0.000406,,,,
119) HC01_VC52                      0.000400,,,,
120) HC01_VC157                     0.000383,,,,
