1 ,0,0,0,0,0,0,0,0
3 ,0,0,0,0,0,0,0,1
5 ,0,0,0,0,0,0,1,0
7 ,0,0,0,0,0,0,1,1
9 ,0,0,0,0,0,1,0,0
11  ,0,0,0,0,0,1,0,1
13 ,0,0,0,0,0,1,1,0
15 ,0,0,0,0,0,1,1,1
17 ,0,0,0,0,1,0,0,0
19  ,0,0,0,0,1,0,0,1
21  ,0,0,0,0,1,0,1,0
23 ,0,0,0,0,1,0,1,1
25 ,0,0,0,0,1,1,0,0
27 ,0,0,0,0,1,1,0,1
29 ,0,0,0,0,1,1,1,0
31 ,0,0,0,0,1,1,1,1
33 ,0,0,0,1,0,0,0,0
35 ,0,0,0,1,0,0,0,1
37 ,0,0,0,1,0,0,1,0
39 ,0,0,0,1,0,0,1,1
41 ,0,0,0,1,0,1,0,0
43 ,0,0,0,1,0,1,0,1
45  ,0,0,0,1,0,1,1,0
47 ,0,0,0,1,0,1,1,1
49  ,0,0,0,1,1,0,0,0
51  ,0,0,0,1,1,0,0,1
53  ,0,0,0,1,1,0,1,0
55 ,0,0,0,1,1,0,1,1
57  ,0,0,0,1,1,1,0,0
59  ,0,0,0,1,1,1,0,1
61  ,0,0,0,1,1,1,1,0
63 ,0,0,0,1,1,1,1,1
65 ,0,0,1,0,0,0,0,0
  67,0,0,1,0,0,0,0,1
  69,0,0,1,0,0,0,1,0
  71,0,0,1,0,0,0,1,1
  73 ,0,0,1,0,0,1,0,0
 75,0,0,1,0,0,1,0,1
  77,0,0,1,0,0,1,1,0
  79,0,0,1,0,0,1,1,1
  81,0,0,1,0,1,0,0,0
  83,0,0,1,0,1,0,0,1
  85,0,0,1,0,1,0,1,0
  87,0,0,1,0,1,0,1,1
  89,0,0,1,0,1,1,0,0
  93,0,0,1,0,1,1,0,1
  95,0,0,1,0,1,1,1,0
  97,0,0,1,0,1,1,1,1
  99,0,0,1,1,0,0,0,0
 101,0,0,1,1,0,0,0,1
 103,0,0,1,1,0,0,1,0
 107,0,0,1,1,0,0,1,1
 109,0,0,1,1,0,1,0,0
 111,0,0,1,1,0,1,0,1
 113,0,0,1,1,0,1,1,0
 115,0,0,1,1,0,1,1,1
 117,0,0,1,1,1,0,0,0
 119,0,0,1,1,1,0,0,1
 121,0,0,1,1,1,0,1,0
 123,0,0,1,1,1,0,1,1
 125,0,0,1,1,1,1,0,0
 127,0,0,1,1,1,1,0,1
 129,0,0,1,1,1,1,1,0
 131,0,0,1,1,1,1,1,1
 133,0,1,0,0,0,0,0,0
 135,0,1,0,0,0,0,0,1
 137,0,1,0,0,0,0,1,0
 139,0,1,0,0,0,0,1,1
 141,0,1,0,0,0,1,0,0
 143,0,1,0,0,0,1,0,1
 145,0,1,0,0,0,1,1,0
 147,0,1,0,0,0,1,1,1
 151,0,1,0,0,1,0,0,0
 153,0,1,0,0,1,0,0,1
 155,0,1,0,0,1,0,1,0
