,target,0,1,2,3,4,5,6,7,8,9
0,14.6,3.941666667,3.125,2.125,4.625,3.783333333,4.616666667,13.45833333,2.758333333,3.083333333,3.591666667
1,14.6,3.941666667,3.125,2.125,4.625,3.783333333,4.616666667,13.45833333,2.758333333,3.083333333,3.591666667
2,10.56666667,8.223333333,9.713809524,8.8,9.433333333,10.775,2.53,15.41,10.33333333,14.57,18.45
3,10.56666667,8.223333333,9.713809524,8.8,9.433333333,10.775,2.53,15.41,10.33333333,14.57,18.45
4,6.854166667,5.093333333,6.283333333,6,10.90833333,7.676666667,6.285,10.16630952,5.9675,5.8375,11.39
5,6.854166667,5.093333333,6.283333333,6,10.90833333,7.676666667,6.285,10.16630952,5.9675,5.8375,11.39
6,6.854166667,5.093333333,6.283333333,6,10.90833333,7.676666667,6.285,10.16630952,5.9675,5.8375,11.39
7,11.7,16.86666667,18.80285714,11.51333333,14.1952381,10.91666667,14.05714286,22.12,30.88333333,15.99166667,10.96666667
8,11.7,16.86666667,18.80285714,11.51333333,14.1952381,10.91666667,14.05714286,22.12,30.88333333,15.99166667,10.96666667
9,31.19,28.325,45.325,68.90833333,52.7,46.23,37.69333333,44.285,31.49333333,48.19166667,45.95
10,31.19,28.325,45.325,68.90833333,52.7,46.23,37.69333333,44.285,31.49333333,48.19166667,45.95
11,12.92857143,15.09333333,17.56666667,13.5,11.6,15,18.4,11.03333333,15.2,11.44,15.72
12,12.92857143,15.09333333,17.56666667,13.5,11.6,15,18.4,11.03333333,15.2,11.44,15.72
13,18.55,15.09285714,14.73,12.53333333,16.1,22.81666667,15.35,20.16666667,18.18,16.28333333,14.75
14,18.55,15.09285714,14.73,12.53333333,16.1,22.81666667,15.35,20.16666667,18.18,16.28333333,14.75
15,25.56,19.75238095,15.43,18,17.6,18.71666667,28.01666667,24.07333333,29.75666667,25.05833333,17.09166667
16,25.56,19.75238095,15.43,18,17.6,18.71666667,28.01666667,24.07333333,29.75666667,25.05833333,17.09166667
